driver_name,trip_id,pickup_zone,amount
Julia,T00783,Staten Island,40.44
Fatima,T00784,Staten Island,33.67
George,T00785,Manhattan,11.17
Alice,T00786,Brooklyn,44.59
Alice,T00787,Manhattan,73.42
Fatima,T00788,Brooklyn,45.11
Carlos,T00789,Staten Island,58.77
George,T00790,Bronx,44.06
George,T00791,Bronx,31.1
Ethan,T00792,Manhattan,53.99
George,T00793,Bronx,42.83
Ivan,T00794,Manhattan,32.4
Ivan,T00795,Bronx,66.13
Carlos,T00796,Brooklyn,38.8
Fatima,T00797,Brooklyn,47.55
Julia,T00798,Manhattan,41.04
Fatima,T00799,Brooklyn,23.07
Carlos,T00800,Brooklyn,14.06
George,T00801,Staten Island,8.03
Bob,T00802,Brooklyn,64.66
Fatima,T00803,Brooklyn,64.53
Diana,T00804,Manhattan,46.76
Fatima,T00805,Queens,58.75
Ivan,T00806,Queens,37.33
Diana,T00807,Staten Island,63.47
Ethan,T00808,Manhattan,31.27
Bob,T00809,Bronx,34.66
Alice,T00810,Bronx,74.43
Ivan,T00811,Manhattan,42.63
Ivan,T00812,Manhattan,27.94
Ivan,T00813,Queens,45.53
Alice,T00814,Manhattan,32.77
Ethan,T00815,Manhattan,10.95
Ivan,T00816,Staten Island,25.69
Bob,T00817,Queens,58.46
Carlos,T00818,Manhattan,53.79
George,T00819,Queens,72.97
Ethan,T00820,Bronx,18.99
Ivan,T00821,Bronx,14.71
Ivan,T00822,Queens,19.02
Bob,T00823,Brooklyn,34.0
Hana,T00824,Bronx,67.29
Bob,T00825,Manhattan,33.69
Ivan,T00826,Staten Island,55.62
George,T00827,Manhattan,43.12
Diana,T00828,Manhattan,28.22
Ivan,T00829,Brooklyn,30.52
Alice,T00830,Bronx,54.44
George,T00831,Manhattan,53.41
Julia,T00832,Bronx,63.46
Hana,T00833,Queens,25.44
George,T00834,Bronx,24.8
Hana,T00835,Staten Island,51.82
Fatima,T00836,Bronx,14.07
Hana,T00837,Staten Island,48.83
George,T00838,Brooklyn,12.8
Bob,T00839,Queens,36.27
Fatima,T00840,Brooklyn,22.87
George,T00841,Staten Island,54.11
Bob,T00842,Staten Island,21.9
Hana,T00843,Queens,55.84
Julia,T00844,Queens,47.48
Ivan,T00845,Queens,52.77
Julia,T00846,Staten Island,12.37
Alice,T00847,Manhattan,55.55
Diana,T00848,Queens,65.72
Julia,T00849,Brooklyn,58.35
Carlos,T00850,Staten Island,67.57
Ethan,T00851,Queens,8.64
Julia,T00852,Manhattan,12.87
Hana,T00853,Brooklyn,56.79
Alice,T00854,Manhattan,24.93
Fatima,T00855,Bronx,56.51
Diana,T00856,Brooklyn,25.76
Carlos,T00857,Manhattan,9.44
Fatima,T00858,Staten Island,70.95
George,T00859,Queens,48.11
Hana,T00860,Brooklyn,61.55
Ivan,T00861,Queens,25.19
Carlos,T00862,Brooklyn,19.01
Bob,T00863,Queens,37.75
Diana,T00864,Manhattan,10.88
Alice,T00865,Bronx,11.37
Carlos,T00866,Queens,73.72
Alice,T00867,Manhattan,57.84
Hana,T00868,Staten Island,64.64
Diana,T00869,Queens,43.01
Fatima,T00870,Brooklyn,49.63
Bob,T00871,Brooklyn,27.3
Hana,T00872,Manhattan,69.21
Ethan,T00873,Brooklyn,60.09
Ethan,T00874,Staten Island,49.2
Ethan,T00875,Queens,15.02
Diana,T00876,Bronx,67.08
Ivan,T00877,Queens,35.01
Hana,T00878,Manhattan,27.8
George,T00879,Manhattan,24.17
Carlos,T00880,Manhattan,29.82
Alice,T00881,Queens,72.61
Hana,T00882,Brooklyn,73.83
Ethan,T00883,Queens,31.04
Carlos,T00884,Bronx,62.44
Ivan,T00885,Brooklyn,58.7
Alice,T00886,Bronx,34.93
George,T00887,Manhattan,63.77
Hana,T00888,Manhattan,16.15
Ivan,T00889,Brooklyn,22.53
Alice,T00890,Manhattan,58.32
Bob,T00891,Queens,16.97
George,T00892,Brooklyn,74.56
Diana,T00893,Bronx,69.21
Diana,T00894,Bronx,35.21
George,T00895,Queens,47.13
Diana,T00896,Manhattan,36.31
Diana,T00897,Manhattan,57.07
Hana,T00898,Bronx,71.93
Carlos,T00899,Bronx,26.69
Fatima,T00900,Bronx,42.3
Fatima,T00901,Manhattan,23.02
Hana,T00902,Staten Island,14.67
Hana,T00903,Bronx,56.28
Fatima,T00904,Brooklyn,63.51
Carlos,T00905,Manhattan,72.9
Ethan,T00906,Brooklyn,61.06
Ethan,T00907,Queens,30.57
Bob,T00908,Queens,32.91
Carlos,T00909,Staten Island,11.22
Ivan,T00910,Manhattan,53.29
Ivan,T00911,Bronx,41.08
Fatima,T00912,Brooklyn,35.73
Carlos,T00913,Manhattan,58.54
Fatima,T00914,Brooklyn,34.29
Carlos,T00915,Brooklyn,49.39
Ethan,T00916,Queens,59.38
Fatima,T00917,Queens,27.67
Hana,T00918,Staten Island,22.61
Diana,T00919,Staten Island,17.45
Hana,T00920,Manhattan,45.21
Fatima,T00921,Brooklyn,59.99
Hana,T00922,Manhattan,45.39
George,T00923,Brooklyn,49.29
Hana,T00924,Bronx,29.94
Ethan,T00925,Bronx,45.69
Carlos,T00926,Queens,10.66
Alice,T00927,Manhattan,62.11
Diana,T00928,Manhattan,10.83
Bob,T00929,Queens,66.11
George,T00930,Staten Island,71.33
Carlos,T00931,Bronx,41.59
Ivan,T00932,Brooklyn,50.52
Ethan,T00933,Bronx,11.93
Fatima,T00934,Manhattan,29.71
Julia,T00935,Manhattan,57.12
Hana,T00936,Staten Island,37.79
Fatima,T00937,Manhattan,59.2
Fatima,T00938,Queens,71.31
Hana,T00939,Brooklyn,48.43
Bob,T00940,Staten Island,62.38
Fatima,T00941,Brooklyn,54.09
Alice,T00942,Manhattan,11.38
Julia,T00943,Staten Island,52.56
Julia,T00944,Manhattan,74.11
Julia,T00945,Queens,55.35
Diana,T00946,Manhattan,19.26
Fatima,T00947,Brooklyn,20.95
Carlos,T00948,Queens,70.88
Hana,T00949,Brooklyn,41.84
George,T00950,Bronx,42.88
Alice,T00951,Brooklyn,70.04
Ethan,T00952,Bronx,28.56
Ivan,T00953,Manhattan,67.09
Bob,T00954,Bronx,31.69
George,T00955,Queens,69.57
Julia,T00956,Bronx,61.85
Ivan,T00957,Queens,69.99
Julia,T00958,Bronx,27.66
Ivan,T00959,Brooklyn,14.53
Hana,T00960,Bronx,50.59
Julia,T00961,Brooklyn,30.01
Julia,T00962,Manhattan,29.48
George,T00963,Manhattan,70.16
Fatima,T00964,Bronx,12.02
Carlos,T00965,Bronx,59.52
Fatima,T00966,Bronx,31.67
George,T00967,Queens,39.4
Ivan,T00968,Manhattan,18.44
Carlos,T00969,Brooklyn,58.4
Fatima,T00970,Queens,40.2
Alice,T00971,Bronx,68.97
Carlos,T00972,Manhattan,54.81
Ethan,T00973,Queens,23.37
Ethan,T00974,Brooklyn,66.84
Diana,T00975,Manhattan,20.23
George,T00976,Brooklyn,33.49
Diana,T00977,Staten Island,72.84
Hana,T00978,Manhattan,42.79
Ethan,T00979,Staten Island,47.42
Bob,T00980,Staten Island,32.66
Carlos,T00981,Queens,67.91
Hana,T00982,Bronx,62.67
Ethan,T00983,Staten Island,47.59
Ivan,T00984,Staten Island,66.78
Fatima,T00985,Staten Island,14.17
Bob,T00986,Bronx,72.91
Bob,T00987,Brooklyn,24.45
Hana,T00988,Manhattan,34.24
Fatima,T00989,Bronx,35.74
Ethan,T00990,Queens,33.34
Bob,T00991,Brooklyn,68.8
Ethan,T00992,Bronx,41.83
George,T00993,Queens,49.21
Diana,T00994,Brooklyn,44.89
Fatima,T00995,Manhattan,11.5
Hana,T00996,Brooklyn,60.4
Alice,T00997,Staten Island,17.16
Bob,T00998,Queens,35.16
Ethan,T00999,Brooklyn,53.58
Julia,T01000,Bronx,17.56
Carlos,T01001,Brooklyn,41.16
Ivan,T01002,Bronx,35.58
Diana,T01003,Brooklyn,68.88
Carlos,T01004,Queens,34.56
Carlos,T01005,Brooklyn,16.19
Alice,T01006,Manhattan,43.61
Bob,T01007,Queens,23.96
Carlos,T01008,Queens,14.87
Alice,T01009,Brooklyn,45.58
Alice,T01010,Bronx,56.94
George,T01011,Staten Island,28.35
Diana,T01012,Queens,49.88
Ivan,T01013,Manhattan,35.0
Bob,T01014,Brooklyn,19.89
Julia,T01015,Bronx,46.78
Hana,T01016,Queens,8.48
Diana,T01017,Queens,24.9
Julia,T01018,Staten Island,52.47
Julia,T01019,Staten Island,62.72
Carlos,T01020,Brooklyn,29.64
Alice,T01021,Staten Island,71.75
Ethan,T01022,Queens,50.41
Hana,T01023,Staten Island,50.42
Fatima,T01024,Bronx,39.66
Bob,T01025,Staten Island,51.59
Hana,T01026,Queens,39.15
Diana,T01027,Staten Island,14.84
Bob,T01028,Queens,68.3
George,T01029,Queens,67.37
Ivan,T01030,Staten Island,39.64
George,T01031,Brooklyn,47.89
Carlos,T01032,Brooklyn,71.7
Carlos,T01033,Queens,35.92
Alice,T01034,Bronx,55.04
George,T01035,Brooklyn,33.17
Ivan,T01036,Manhattan,49.26
Ethan,T01037,Staten Island,74.07
Julia,T01038,Queens,39.91
Carlos,T01039,Queens,49.58
George,T01040,Bronx,36.7
Bob,T01041,Manhattan,53.98
Carlos,T01042,Brooklyn,27.99
Fatima,T01043,Queens,73.1
Ethan,T01044,Queens,33.61
Fatima,T01045,Brooklyn,68.82
Carlos,T01046,Queens,13.34
Julia,T01047,Brooklyn,63.98
Fatima,T01048,Queens,72.56
Diana,T01049,Bronx,12.54
Ivan,T01050,Brooklyn,30.88
Fatima,T01051,Queens,61.51
Fatima,T01052,Bronx,71.06
Julia,T01053,Bronx,27.47
Ethan,T01054,Staten Island,17.03
Carlos,T01055,Queens,47.97
George,T01056,Bronx,27.04
Ivan,T01057,Queens,59.42
Alice,T01058,Staten Island,21.83
Diana,T01059,Brooklyn,58.03
Ethan,T01060,Brooklyn,59.38
Bob,T01061,Brooklyn,63.58
George,T01062,Queens,72.66
Ivan,T01063,Brooklyn,35.27
Fatima,T01064,Queens,48.3
Ivan,T01065,Staten Island,19.62
Fatima,T01066,Staten Island,49.82
Ethan,T01067,Brooklyn,38.21
Alice,T01068,Staten Island,38.93
Alice,T01069,Brooklyn,31.68
George,T01070,Staten Island,24.86
Bob,T01071,Manhattan,24.02
Alice,T01072,Staten Island,37.79
Ivan,T01073,Brooklyn,51.5
George,T01074,Queens,46.57
Julia,T01075,Brooklyn,38.01
Carlos,T01076,Queens,13.12
Ivan,T01077,Manhattan,71.5
Fatima,T01078,Manhattan,24.42
Hana,T01079,Bronx,39.81
Hana,T01080,Staten Island,62.34
Julia,T01081,Queens,34.13
Hana,T01082,Queens,65.49
Diana,T01083,Bronx,69.52
Ivan,T01084,Brooklyn,41.07
George,T01085,Bronx,25.8
Hana,T01086,Manhattan,13.04
Diana,T01087,Bronx,52.68
Diana,T01088,Manhattan,71.62
Julia,T01089,Queens,41.21
Bob,T01090,Bronx,11.09
Ethan,T01091,Manhattan,9.06
Diana,T01092,Staten Island,20.88
Alice,T01093,Queens,57.56
Julia,T01094,Bronx,9.65
Alice,T01095,Brooklyn,51.02
George,T01096,Manhattan,47.45
Ethan,T01097,Bronx,21.71
Carlos,T01098,Manhattan,42.32
Bob,T01099,Brooklyn,38.35
Fatima,T01100,Bronx,31.98
Bob,T01101,Brooklyn,15.76
Carlos,T01102,Manhattan,12.24
Carlos,T01103,Bronx,58.47
Hana,T01104,Staten Island,43.24
Ethan,T01105,Manhattan,15.84
Ivan,T01106,Brooklyn,38.87
Ethan,T01107,Bronx,57.74
Hana,T01108,Manhattan,30.45
Carlos,T01109,Staten Island,26.15
Bob,T01110,Bronx,71.85
Julia,T01111,Manhattan,52.04
Alice,T01112,Staten Island,21.59
Ivan,T01113,Bronx,39.33
Hana,T01114,Brooklyn,18.57
Alice,T01115,Staten Island,71.51
Fatima,T01116,Staten Island,66.79
Ethan,T01117,Bronx,60.7
Bob,T01118,Bronx,64.85
Hana,T01119,Bronx,13.29
Ethan,T01120,Manhattan,19.9
Alice,T01121,Queens,67.33
Ethan,T01122,Queens,60.98
Bob,T01123,Bronx,64.73
George,T01124,Queens,69.63
Julia,T01125,Queens,64.1
Carlos,T01126,Queens,32.2
George,T01127,Staten Island,42.67
Fatima,T01128,Bronx,51.36
George,T01129,Brooklyn,56.01
Fatima,T01130,Brooklyn,21.53
George,T01131,Manhattan,69.22
Fatima,T01132,Staten Island,74.13
Hana,T01133,Manhattan,22.41
Bob,T01134,Queens,33.08
Ethan,T01135,Staten Island,71.03
Hana,T01136,Brooklyn,46.61
Alice,T01137,Brooklyn,48.35
Julia,T01138,Brooklyn,16.84
Hana,T01139,Staten Island,62.48
George,T01140,Bronx,52.39
Ivan,T01141,Bronx,72.75
Bob,T01142,Bronx,74.3
Ethan,T01143,Staten Island,49.64
Ivan,T01144,Manhattan,52.03
Carlos,T01145,Bronx,28.83
Fatima,T01146,Queens,13.37
Ethan,T01147,Brooklyn,12.37
Ivan,T01148,Queens,59.48
Bob,T01149,Queens,65.96
Alice,T01150,Staten Island,67.13
Diana,T01151,Staten Island,12.46
Ethan,T01152,Staten Island,65.73
Diana,T01153,Bronx,73.98
George,T01154,Brooklyn,65.06
Bob,T01155,Staten Island,28.81
George,T01156,Brooklyn,54.36
Carlos,T01157,Brooklyn,62.41
Hana,T01158,Queens,61.02
Alice,T01159,Manhattan,73.43
Alice,T01160,Staten Island,54.87
Julia,T01161,Staten Island,71.5
Fatima,T01162,Brooklyn,17.26
Bob,T01163,Bronx,62.16
Bob,T01164,Bronx,37.38
Carlos,T01165,Queens,10.79
Diana,T01166,Staten Island,46.5
Hana,T01167,Manhattan,64.75
Hana,T01168,Brooklyn,56.43
Ivan,T01169,Staten Island,14.46
Ethan,T01170,Bronx,59.48
Bob,T01171,Manhattan,49.78
Alice,T01172,Manhattan,69.8
Julia,T01173,Bronx,46.77
George,T01174,Queens,48.26
George,T01175,Staten Island,44.84
Fatima,T01176,Bronx,16.97
Ethan,T01177,Staten Island,64.38
Hana,T01178,Manhattan,53.95
Bob,T01179,Manhattan,73.74
Bob,T01180,Queens,63.19
Diana,T01181,Brooklyn,49.6
Julia,T01182,Queens,48.6
Julia,T01183,Brooklyn,43.17
George,T01184,Bronx,39.55
George,T01185,Bronx,17.81
Diana,T01186,Staten Island,64.39
Fatima,T01187,Manhattan,71.11
Ethan,T01188,Queens,15.71
Alice,T01189,Brooklyn,32.29
Julia,T01190,Manhattan,34.58
Hana,T01191,Queens,35.61
Ivan,T01192,Queens,26.22
Alice,T01193,Bronx,13.18
Alice,T01194,Manhattan,65.97
Ivan,T01195,Staten Island,33.05
Hana,T01196,Staten Island,65.12
Ivan,T01197,Staten Island,36.87
Hana,T01198,Brooklyn,9.21
George,T01199,Staten Island,68.4
Hana,T01200,Brooklyn,10.68
George,T01201,Manhattan,55.93
George,T01202,Bronx,59.92
Ethan,T01203,Manhattan,50.79
George,T01204,Bronx,62.42
Julia,T01205,Brooklyn,25.42
Carlos,T01206,Queens,65.27
Fatima,T01207,Brooklyn,40.27
Ethan,T01208,Manhattan,16.49
Carlos,T01209,Brooklyn,63.46
Fatima,T01210,Queens,49.16
George,T01211,Queens,48.78
Ivan,T01212,Staten Island,72.88
Carlos,T01213,Staten Island,50.21
Fatima,T01214,Staten Island,67.53
George,T01215,Bronx,64.63
Alice,T01216,Queens,36.73
Hana,T01217,Manhattan,50.39
Ethan,T01218,Queens,19.36
Bob,T01219,Staten Island,43.92
Fatima,T01220,Manhattan,62.68
Carlos,T01221,Queens,25.82
George,T01222,Queens,24.97
Hana,T01223,Bronx,25.61
Julia,T01224,Bronx,43.63
Carlos,T01225,Staten Island,13.15
Julia,T01226,Queens,16.56
Ivan,T01227,Manhattan,74.73
George,T01228,Staten Island,49.9
Bob,T01229,Queens,65.64
Diana,T01230,Brooklyn,34.12
Ivan,T01231,Manhattan,68.65
Hana,T01232,Bronx,8.29
Ethan,T01233,Staten Island,32.72
Ivan,T01234,Brooklyn,67.26
Julia,T01235,Manhattan,66.04
Alice,T01236,Brooklyn,74.83
Diana,T01237,Manhattan,74.84
Ivan,T01238,Queens,21.87
Diana,T01239,Bronx,8.88
Carlos,T01240,Queens,55.65
Fatima,T01241,Brooklyn,26.61
Ivan,T01242,Bronx,27.03
Carlos,T01243,Brooklyn,25.53
Fatima,T01244,Bronx,55.83
Fatima,T01245,Manhattan,45.94
George,T01246,Manhattan,54.38
George,T01247,Staten Island,46.55
Ivan,T01248,Bronx,51.74
Fatima,T01249,Staten Island,31.6
Ethan,T01250,Queens,47.21
Ivan,T01251,Queens,47.85
George,T01252,Staten Island,72.84
Diana,T01253,Queens,8.47
Carlos,T01254,Bronx,74.81
Hana,T01255,Manhattan,43.8
Carlos,T01256,Bronx,42.02
Bob,T01257,Brooklyn,46.3
Hana,T01258,Manhattan,65.71
Bob,T01259,Brooklyn,36.99
Alice,T01260,Bronx,20.52
Ivan,T01261,Staten Island,45.45
Alice,T01262,Staten Island,51.01
Fatima,T01263,Brooklyn,42.24
George,T01264,Staten Island,41.4
Ethan,T01265,Bronx,61.25
Ivan,T01266,Staten Island,51.71
Alice,T01267,Brooklyn,48.58
Ivan,T01268,Staten Island,27.41
George,T01269,Brooklyn,31.35
Diana,T01270,Staten Island,30.81
Julia,T01271,Queens,61.58
Diana,T01272,Brooklyn,42.25
Ethan,T01273,Bronx,74.78
George,T01274,Manhattan,33.23
Alice,T01275,Staten Island,49.8
George,T01276,Bronx,14.41
Ethan,T01277,Bronx,21.87
Ethan,T01278,Bronx,49.48
Hana,T01279,Brooklyn,30.13
Carlos,T01280,Manhattan,36.67
Ivan,T01281,Queens,39.85
Julia,T01282,Queens,19.36
Diana,T01283,Manhattan,12.13
Carlos,T01284,Brooklyn,11.86
Alice,T01285,Brooklyn,30.57
Fatima,T01286,Brooklyn,31.66
Ivan,T01287,Staten Island,31.38
Ivan,T01288,Staten Island,64.77
Carlos,T01289,Brooklyn,59.15
Alice,T01290,Manhattan,53.18
Diana,T01291,Manhattan,69.56
Ivan,T01292,Bronx,15.21
Ethan,T01293,Staten Island,16.89
Ivan,T01294,Queens,23.98
George,T01295,Staten Island,66.78
Diana,T01296,Staten Island,58.31
Fatima,T01297,Bronx,27.03
Ethan,T01298,Queens,44.14
Fatima,T01299,Queens,34.53
Hana,T01300,Queens,68.04
Fatima,T01301,Manhattan,74.25
Bob,T01302,Bronx,46.93
Carlos,T01303,Queens,50.56
Ivan,T01304,Queens,74.24
George,T01305,Brooklyn,19.0
Alice,T01306,Staten Island,48.93
Ethan,T01307,Brooklyn,67.21
Bob,T01308,Bronx,48.35
Fatima,T01309,Queens,14.92
Carlos,T01310,Brooklyn,35.6
Hana,T01311,Brooklyn,41.04
Alice,T01312,Manhattan,23.28
Ethan,T01313,Queens,56.23
George,T01314,Manhattan,73.56
Fatima,T01315,Brooklyn,16.24
Julia,T01316,Staten Island,15.67
Bob,T01317,Brooklyn,44.39
Ivan,T01318,Brooklyn,24.66
Carlos,T01319,Brooklyn,53.57
Julia,T01320,Staten Island,49.19
Hana,T01321,Bronx,34.13
Ivan,T01322,Brooklyn,38.19
Hana,T01323,Brooklyn,17.07
George,T01324,Manhattan,8.08
Alice,T01325,Staten Island,17.16
Ivan,T01326,Bronx,10.73
Hana,T01327,Manhattan,69.03
Carlos,T01328,Queens,47.41
Ethan,T01329,Manhattan,46.23
Diana,T01330,Queens,28.49
Diana,T01331,Brooklyn,25.33
Carlos,T01332,Staten Island,55.18
Julia,T01333,Brooklyn,66.89
Bob,T01334,Manhattan,49.32
Alice,T01335,Bronx,57.77
Alice,T01336,Bronx,66.7
Diana,T01337,Queens,64.15
Diana,T01338,Bronx,66.03
Alice,T01339,Staten Island,24.45
Hana,T01340,Queens,71.32
Julia,T01341,Queens,56.26
Bob,T01342,Manhattan,71.73
Ethan,T01343,Manhattan,68.2
Diana,T01344,Queens,74.1
Alice,T01345,Queens,29.0
Fatima,T01346,Queens,26.22
Carlos,T01347,Brooklyn,56.49
Julia,T01348,Staten Island,38.25
George,T01349,Queens,51.42
Julia,T01350,Queens,31.27
George,T01351,Bronx,45.13
Alice,T01352,Manhattan,18.99
Ivan,T01353,Manhattan,65.25
Fatima,T01354,Bronx,68.3
Carlos,T01355,Brooklyn,72.79
Ivan,T01356,Manhattan,9.6
George,T01357,Staten Island,44.62
Diana,T01358,Manhattan,71.32
Julia,T01359,Staten Island,67.76
Carlos,T01360,Bronx,24.19
Ivan,T01361,Staten Island,67.33
Ivan,T01362,Manhattan,67.99
Bob,T01363,Manhattan,14.09
Diana,T01364,Manhattan,69.73
Hana,T01365,Staten Island,34.52
Julia,T01366,Queens,46.61
Fatima,T01367,Manhattan,68.34
Bob,T01368,Bronx,17.06
Ethan,T01369,Brooklyn,43.52
Julia,T01370,Bronx,70.93
Diana,T01371,Queens,39.35
Diana,T01372,Staten Island,8.93
Bob,T01373,Staten Island,10.72
Fatima,T01374,Queens,38.93
Ivan,T01375,Brooklyn,54.2
George,T01376,Brooklyn,25.76
Bob,T01377,Bronx,10.6
Bob,T01378,Brooklyn,36.79
Ivan,T01379,Brooklyn,39.22
Bob,T01380,Queens,59.88
Julia,T01381,Bronx,49.94
Fatima,T01382,Staten Island,41.64
Diana,T01383,Manhattan,73.95
Fatima,T01384,Brooklyn,66.8
Bob,T01385,Manhattan,46.48
Hana,T01386,Brooklyn,68.37
Fatima,T01387,Queens,62.45
Bob,T01388,Brooklyn,50.21
Ivan,T01389,Brooklyn,62.9
Alice,T01390,Staten Island,44.62
Alice,T01391,Brooklyn,61.42
Carlos,T01392,Manhattan,73.79
Alice,T01393,Bronx,62.63
Ethan,T01394,Queens,49.23
Julia,T01395,Queens,27.67
George,T01396,Bronx,55.87
Alice,T01397,Brooklyn,54.83
Carlos,T01398,Queens,12.4
Alice,T01399,Staten Island,69.63
Carlos,T01400,Bronx,33.91
Fatima,T01401,Queens,72.41
Hana,T01402,Manhattan,9.9
Julia,T01403,Queens,34.86
George,T01404,Queens,50.11
Ethan,T01405,Staten Island,44.67
Bob,T01406,Queens,16.26
George,T01407,Bronx,13.9
Ivan,T01408,Manhattan,35.52
Julia,T01409,Queens,33.21
Hana,T01410,Brooklyn,52.36
Ivan,T01411,Manhattan,48.43
Ethan,T01412,Brooklyn,27.96
Alice,T01413,Staten Island,39.22
Ethan,T01414,Brooklyn,33.58
Diana,T01415,Queens,23.7
Ethan,T01416,Bronx,10.78
Fatima,T01417,Staten Island,13.92
George,T01418,Brooklyn,13.31
Julia,T01419,Bronx,29.69
Ethan,T01420,Brooklyn,25.93
George,T01421,Bronx,34.37
Diana,T01422,Brooklyn,15.24
Bob,T01423,Queens,70.08
Ivan,T01424,Brooklyn,56.14
Bob,T01425,Brooklyn,26.75
Diana,T01426,Staten Island,29.4
Carlos,T01427,Brooklyn,23.92
Carlos,T01428,Bronx,67.23
Ivan,T01429,Queens,17.56
Bob,T01430,Queens,46.02
Bob,T01431,Staten Island,74.71
Diana,T01432,Staten Island,13.62
Julia,T01433,Queens,45.44
Ivan,T01434,Manhattan,40.07
Carlos,T01435,Brooklyn,22.3
Ethan,T01436,Bronx,24.32
Alice,T01437,Manhattan,69.64
Alice,T01438,Queens,8.16
Diana,T01439,Staten Island,29.6
Hana,T01440,Staten Island,70.74
Ethan,T01441,Staten Island,68.32
Alice,T01442,Queens,12.97
Diana,T01443,Staten Island,41.43
Julia,T01444,Staten Island,51.94
Alice,T01445,Manhattan,61.39
George,T01446,Queens,25.88
Hana,T01447,Bronx,21.59
Ivan,T01448,Bronx,72.9
Carlos,T01449,Queens,52.03
George,T01450,Bronx,45.74
Hana,T01451,Bronx,21.84
Hana,T01452,Brooklyn,36.66
Ethan,T01453,Staten Island,19.62
Fatima,T01454,Staten Island,26.19
George,T01455,Queens,15.18
Bob,T01456,Bronx,66.53
Ethan,T01457,Staten Island,65.61
George,T01458,Bronx,17.31
Julia,T01459,Brooklyn,73.01
Julia,T01460,Queens,34.7
George,T01461,Staten Island,40.03
Hana,T01462,Bronx,52.07
Ethan,T01463,Queens,59.77
Fatima,T01464,Queens,36.92
Ethan,T01465,Manhattan,27.27
Ivan,T01466,Bronx,9.06
Bob,T01467,Manhattan,55.68
Fatima,T01468,Manhattan,47.75
Ethan,T01469,Staten Island,69.64
Alice,T01470,Brooklyn,50.29
Diana,T01471,Bronx,15.59
Hana,T01472,Manhattan,65.57
Alice,T01473,Manhattan,20.29
Diana,T01474,Brooklyn,19.07
Carlos,T01475,Queens,59.08
Fatima,T01476,Brooklyn,25.64
Alice,T01477,Bronx,67.75
George,T01478,Bronx,25.0
George,T01479,Bronx,63.85
Ivan,T01480,Bronx,19.98
Bob,T01481,Manhattan,41.65
Bob,T01482,Bronx,36.2
Bob,T01483,Brooklyn,53.55
Julia,T01484,Queens,34.04
Hana,T01485,Manhattan,20.94
George,T01486,Manhattan,8.13
Fatima,T01487,Staten Island,40.97
Diana,T01488,Brooklyn,58.26
Carlos,T01489,Bronx,68.49
Ethan,T01490,Staten Island,44.79
Carlos,T01491,Manhattan,35.78
George,T01492,Bronx,15.48
Ivan,T01493,Queens,22.8
Hana,T01494,Manhattan,60.69
Hana,T01495,Staten Island,15.44
Ethan,T01496,Staten Island,16.6
Ivan,T01497,Brooklyn,13.74
Carlos,T01498,Queens,10.28
Julia,T01499,Bronx,45.62
Ivan,T01500,Queens,74.82
George,T01501,Queens,30.65
Fatima,T01502,Bronx,15.09
Julia,T01503,Manhattan,20.09
Bob,T01504,Staten Island,24.36
George,T01505,Manhattan,71.31
Ethan,T01506,Queens,59.61
Ethan,T01507,Brooklyn,28.8
Fatima,T01508,Queens,21.07
Carlos,T01509,Brooklyn,35.9
Bob,T01510,Brooklyn,21.8
Alice,T01511,Bronx,28.57
Bob,T01512,Staten Island,23.76
Hana,T01513,Staten Island,49.22
Bob,T01514,Brooklyn,22.12
Carlos,T01515,Staten Island,73.81
Ethan,T01516,Queens,34.31
Fatima,T01517,Brooklyn,74.64
Diana,T01518,Manhattan,64.03
Ethan,T01519,Bronx,53.08
Alice,T01520,Queens,27.63
Ivan,T01521,Brooklyn,47.6
Diana,T01522,Queens,47.72
Bob,T01523,Brooklyn,35.78
George,T01524,Queens,18.84
Ethan,T01525,Queens,72.28
Bob,T01526,Brooklyn,57.37
Fatima,T01527,Brooklyn,34.96
Fatima,T01528,Manhattan,8.56
Julia,T01529,Manhattan,62.75
Ivan,T01530,Bronx,74.67
George,T01531,Brooklyn,9.53
Alice,T01532,Bronx,32.79
Bob,T01533,Manhattan,46.83
George,T01534,Bronx,56.94
Ethan,T01535,Brooklyn,71.28
George,T01536,Staten Island,37.54
Bob,T01537,Manhattan,42.01
Diana,T01538,Brooklyn,45.77
Fatima,T01539,Brooklyn,46.74
Carlos,T01540,Staten Island,57.22
Alice,T01541,Manhattan,48.97
Bob,T01542,Bronx,39.16
Julia,T01543,Queens,54.9
Ivan,T01544,Bronx,9.98
Ivan,T01545,Manhattan,62.09
Carlos,T01546,Staten Island,42.52
Carlos,T01547,Queens,27.03
Hana,T01548,Brooklyn,32.09
Ivan,T01549,Brooklyn,14.05
Ethan,T01550,Staten Island,8.17
Diana,T01551,Staten Island,12.7
Ethan,T01552,Queens,20.37
Julia,T01553,Queens,33.71
Hana,T01554,Staten Island,30.18
George,T01555,Staten Island,36.87
George,T01556,Staten Island,65.94
Ethan,T01557,Staten Island,57.54
Alice,T01558,Brooklyn,26.89
Alice,T01559,Manhattan,23.06
Alice,T01560,Brooklyn,10.29
Bob,T01561,Queens,69.96
Fatima,T01562,Brooklyn,44.5
Ethan,T01563,Staten Island,72.58
Ethan,T01564,Bronx,36.16
Hana,T01565,Queens,22.13
Bob,T01566,Staten Island,59.24
Julia,T01567,Bronx,68.05
